Node	Gene	Type	CIN_surv	Invasive_surv	MSIorCIMP_surv
ACTR3B_mrna	ACTR3B	mrna	died	died	died
ACTR3_mrna	ACTR3	mrna	died	died	died
ACTR3_prot	ACTR3	prot	died	died	died
ACTR5_mrna	ACTR5	mrna	died	died	died
ACTR6_mrna	ACTR6	mrna	died	died	died
ACTR8_mrna	ACTR8	mrna	died	died	died
ACVR1B_mrna	ACVR1B	mrna	mrna	died	died
ACVR2B_mrna	ACVR2B	mrna	died	died	died
ACY1_prot	ACY1	prot	died	died	died
ACYP2_mrna	ACYP2	mrna	died	died	died
ADAM10_mrna	ADAM10	mrna	died	died	died
ADAM10_prot	ADAM10	prot	died	died	died
ADAM15_mrna	ADAM15	mrna	died	died	died
ADAM17_mrna	ADAM17	mrna	died	died	died
ADAM19_mrna	ADAM19	mrna	died	died	died
ADAM32_mrna	ADAM32	mrna	died	died	died
ADAM33_mrna	ADAM33	mrna	died	died	died
ADAM8_mrna	ADAM8	mrna	died	died	died
ADAM9_mrna	ADAM9	mrna	died	died	died
ADAMTSL2_mrna	ADAMTSL2	mrna	mrna	died	died
ADAP1_mrna	ADAP1	mrna	died	died	died
ADARB1_mrna	ADARB1	mrna	died	mrna	died
ADARB2_mrna	ADARB2	mrna	died	died	died
ADAR_prot	ADAR	prot	died	died	died
ADCK3_prot	ADCK3	prot	died	died	died
ADCY1_mrna	ADCY1	mrna	died	died	died
ADCY3_mrna	ADCY3	mrna	died	died	died
ADCY4_mrna	ADCY4	mrna	died	died	died
ADCY6_mrna	ADCY6	mrna	died	died	died
ADD1_mrna	ADD1	mrna	died	died	died
ADD1_prot	ADD1	prot	prot	died	prot
ADD3_mrna	ADD3	mrna	died	died	died
ADD3_prot	ADD3	prot	died	died	died
ADGRB2_mrna	ADGRB2	mrna	died	mrna	died
ADGRE5_mrna	ADGRE5	mrna	died	died	died
ADGRF3_mrna	ADGRF3	mrna	died	died	died
ADGRL1_mrna	ADGRL1	mrna	died	died	died
ADH1B_prot	ADH1B	prot	died	died	died
ADH1C_prot	ADH1C	prot	died	died	died
ADH5_prot	ADH5	prot	died	died	died
ADK_mrna	ADK	mrna	died	died	died
ADK_prot	ADK	prot	died	died	died
ADM_mrna	ADM	mrna	died	died	died
ADNP_mrna	ADNP	mrna	died	died	died
ADNP_prot	ADNP	prot	prot	died	prot
ADORA1_mrna	ADORA1	mrna	died	mrna	died
ADORA2A_mrna	ADORA2A	mrna	died	died	died
ADORA2B_mrna	ADORA2B	mrna	died	mrna	died
ADPGK_mrna	ADPGK	mrna	died	died	died
ADPRHL2_mrna	ADPRHL2	mrna	died	died	died
ADPRH_mrna	ADPRH	mrna	died	mrna	died
ADRA2B_mrna	ADRA2B	mrna	died	died	died
ADRBK1_mrna	ADRBK1	mrna	died	died	died
ADRM1_mrna	ADRM1	mrna	died	died	died
ADRM1_prot	ADRM1	prot	died	died	died
ADSL_mrna	ADSL	mrna	died	died	died
ADSL_prot	ADSL	prot	died	died	died
ADSS_mrna	ADSS	mrna	died	died	died
ADSS_prot	ADSS	prot	died	died	died
ADTRP_mrna	ADTRP	mrna	died	died	died
AEBP1_prot	AEBP1	prot	died	died	died
AEBP2_mrna	AEBP2	mrna	died	died	died
AFF1_mrna	AFF1	mrna	died	died	died
AFF3_mrna	AFF3	mrna	died	died	died
AFF4_mrna	AFF4	mrna	died	died	died
AFG3L2_mrna	AFG3L2	mrna	died	died	died
AFG3L2_prot	AFG3L2	prot	died	died	died
AFM_prot	AFM	prot	died	died	died
AFP_mrna	AFP	mrna	died	died	died
AGAP1_mrna	AGAP1	mrna	died	died	died
AGAP2_mrna	AGAP2	mrna	died	died	died
AGAP3_mrna	AGAP3	mrna	died	died	died
AGA_mrna	AGA	mrna	died	died	died
AGA_prot	AGA	prot	died	died	died
AGBL5_mrna	AGBL5	mrna	died	died	died
AGFG1_mrna	AGFG1	mrna	died	died	died
AGGF1_mrna	AGGF1	mrna	died	died	died
AGK_prot	AGK	prot	died	died	died
AGL_prot	AGL	prot	died	died	died
AGMAT_prot	AGMAT	prot	died	died	died
AGO2_prot	AGO2	prot	died	died	died
AGPAT4_mrna	AGPAT4	mrna	died	died	died
AGPS_mrna	AGPS	mrna	died	mrna	died
AGPS_prot	AGPS	prot	died	died	died
AGR2_mrna	AGR2	mrna	mrna	died	died
AGR2_prot	AGR2	prot	died	died	died
