Node	Gene	Type	CIN_surv	Invasive_surv	MSIorCIMP_surv
CLDN3_prot	CLDN3	prot	died	died	died
CLDN4_mrna	CLDN4	mrna	died	died	died
CLDN5_mrna	CLDN5	mrna	died	died	died
CLDN7_mrna	CLDN7	mrna	died	died	died
CLDN7_prot	CLDN7	prot	died	died	died
CLEC14A_mrna	CLEC14A	mrna	died	died	died
CLEC16A_mrna	CLEC16A	mrna	died	died	died
CLEC3B_prot	CLEC3B	prot	died	died	died
CLEC7A_mrna	CLEC7A	mrna	died	died	died
CLGN_mrna	CLGN	mrna	died	died	died
CLIC1_mrna	CLIC1	mrna	died	died	died
CLIC1_prot	CLIC1	prot	died	died	died
CLIC3_prot	CLIC3	prot	died	died	died
CLIC4_mrna	CLIC4	mrna	died	died	died
CLIC4_prot	CLIC4	prot	died	died	died
CLIC5_mrna	CLIC5	mrna	died	died	died
CLIC5_prot	CLIC5	prot	died	died	died
CLINT1_mrna	CLINT1	mrna	died	died	died
CLINT1_prot	CLINT1	prot	died	died	died
CLIP1_mrna	CLIP1	mrna	died	died	died
CLIP1_prot	CLIP1	prot	died	prot	died
CLIP2_mrna	CLIP2	mrna	died	died	died
CLIP2_prot	CLIP2	prot	died	died	died
CLN6_mrna	CLN6	mrna	died	died	died
CLNS1A_mrna	CLNS1A	mrna	died	died	died
CLOCK_mrna	CLOCK	mrna	died	died	died
CLP1_mrna	CLP1	mrna	died	died	died
CLPP_mrna	CLPP	mrna	died	died	died
CLPP_prot	CLPP	prot	died	died	died
CLPTM1_mrna	CLPTM1	mrna	died	died	died
CLPX_mrna	CLPX	mrna	died	died	died
CLPX_prot	CLPX	prot	died	died	died
CLTA_mrna	CLTA	mrna	died	mrna	died
CLTA_prot	CLTA	prot	died	died	died
CLTB_mrna	CLTB	mrna	died	died	died
CLTB_prot	CLTB	prot	died	died	died
CLTC_mrna	CLTC	mrna	died	died	died
CLTC_prot	CLTC	prot	died	died	died
CLUAP1_mrna	CLUAP1	mrna	died	died	died
CLUH_prot	CLUH	prot	died	died	died
CLU_mrna	CLU	mrna	died	died	died
CLU_prot	CLU	prot	died	prot	prot
CLYBL_mrna	CLYBL	mrna	died	died	died
CLYBL_prot	CLYBL	prot	died	died	died
CMAS_prot	CMAS	prot	died	died	died
CMBL_mrna	CMBL	mrna	died	died	died
CMBL_prot	CMBL	prot	died	died	died
CMPK1_prot	CMPK1	prot	died	died	died
CMTM3_mrna	CMTM3	mrna	died	died	died
CNBP_prot	CNBP	prot	prot	died	died
CNDP1_mrna	CNDP1	mrna	died	died	died
CNDP2_prot	CNDP2	prot	died	died	died
CNEP1R1_mrna	CNEP1R1	mrna	died	died	died
CNGA3_mrna	CNGA3	mrna	died	died	died
CNIH1_mrna	CNIH1	mrna	died	died	died
CNN1_mrna	CNN1	mrna	died	mrna	died
CNN1_prot	CNN1	prot	died	died	died
CNN2_mrna	CNN2	mrna	died	died	died
CNN2_prot	CNN2	prot	died	died	died
CNN3_mrna	CNN3	mrna	died	died	died
CNN3_prot	CNN3	prot	died	died	died
CNNM2_mrna	CNNM2	mrna	died	died	died
CNNM4_prot	CNNM4	prot	died	died	died
CNOT10_mrna	CNOT10	mrna	died	died	died
CNOT1_mrna	CNOT1	mrna	died	died	died
CNOT1_prot	CNOT1	prot	died	died	died
CNOT2_mrna	CNOT2	mrna	died	died	died
CNOT4_mrna	CNOT4	mrna	died	died	died
CNOT6L_mrna	CNOT6L	mrna	died	died	died
CNOT6_mrna	CNOT6	mrna	died	died	died
CNOT7_mrna	CNOT7	mrna	died	died	died
CNOT8_mrna	CNOT8	mrna	died	died	died
CNPY2_mrna	CNPY2	mrna	died	died	died
CNPY2_prot	CNPY2	prot	died	died	died
CNPY3_mrna	CNPY3	mrna	died	died	died
CNPY3_prot	CNPY3	prot	died	died	died
CNP_mrna	CNP	mrna	died	died	died
CNP_prot	CNP	prot	died	died	died
CNR1_mrna	CNR1	mrna	died	died	died
CNR2_mrna	CNR2	mrna	died	died	died
CNTD2_mrna	CNTD2	mrna	died	died	died
CNTFR_mrna	CNTFR	mrna	died	died	died
CNTN1_mrna	CNTN1	mrna	died	died	died
CNTROB_mrna	CNTROB	mrna	died	died	died
COA6_prot	COA6	prot	died	died	died
COASY_mrna	COASY	mrna	died	died	died
COASY_prot	COASY	prot	died	died	died
COG1_mrna	COG1	mrna	died	died	died
COG1_prot	COG1	prot	died	died	died
COG2_prot	COG2	prot	died	died	died
COG3_mrna	COG3	mrna	died	died	died
COG3_prot	COG3	prot	died	prot	died
COG4_prot	COG4	prot	died	died	died
COG5_prot	COG5	prot	died	died	died
COG6_prot	COG6	prot	died	died	died
COG7_prot	COG7	prot	died	died	died
COL10A1_prot	COL10A1	prot	died	died	died
COL11A1_mrna	COL11A1	mrna	died	died	died
COL12A1_mrna	COL12A1	mrna	died	mrna	died
COL12A1_prot	COL12A1	prot	died	prot	died
COL14A1_mrna	COL14A1	mrna	died	died	died
COL14A1_prot	COL14A1	prot	died	prot	prot
COL15A1_prot	COL15A1	prot	died	prot	prot
COL18A1_mrna	COL18A1	mrna	died	died	died
COL18A1_prot	COL18A1	prot	died	prot	prot
COL1A1_mrna	COL1A1	mrna	died	died	died
COL1A1_prot	COL1A1	prot	died	prot	died
COL1A2_mrna	COL1A2	mrna	mrna	mrna	mrna
COL1A2_prot	COL1A2	prot	died	prot	died
COL22A1_mrna	COL22A1	mrna	died	died	died
COL24A1_mrna	COL24A1	mrna	mrna	mrna	died
COL26A1_mrna	COL26A1	mrna	died	died	died
COL2A1_mrna	COL2A1	mrna	mrna	died	died
COL2A1_prot	COL2A1	prot	died	prot	died
COL3A1_mrna	COL3A1	mrna	died	died	died
COL3A1_prot	COL3A1	prot	died	prot	died
COL4A1_mrna	COL4A1	mrna	died	mrna	mrna
COL4A1_prot	COL4A1	prot	died	died	died
COL4A2_mrna	COL4A2	mrna	died	mrna	died
COL4A2_prot	COL4A2	prot	died	died	died
COL5A1_mrna	COL5A1	mrna	died	mrna	died
COL5A1_prot	COL5A1	prot	died	prot	prot
COL5A2_mrna	COL5A2	mrna	died	died	died
COL5A2_prot	COL5A2	prot	died	died	died
COL6A1_mrna	COL6A1	mrna	died	mrna	died
COL6A1_prot	COL6A1	prot	died	prot	prot
COL6A2_mrna	COL6A2	mrna	died	mrna	died
COL6A2_prot	COL6A2	prot	died	prot	prot
COL6A3_mrna	COL6A3	mrna	died	mrna	mrna
COL6A3_prot	COL6A3	prot	died	prot	died
COL7A1_mrna	COL7A1	mrna	died	mrna	died
COL7A1_prot	COL7A1	prot	died	prot	died
COL8A1_mrna	COL8A1	mrna	died	mrna	died
COL8A1_prot	COL8A1	prot	died	died	died
COL8A2_mrna	COL8A2	mrna	died	mrna	died
COL9A2_mrna	COL9A2	mrna	died	died	died
COLGALT1_prot	COLGALT1	prot	died	died	died
COMMD2_mrna	COMMD2	mrna	died	died	died
COMMD4_mrna	COMMD4	mrna	died	died	died
COMMD8_mrna	COMMD8	mrna	died	died	died
COMP_prot	COMP	prot	died	died	died
COMTD1_mrna	COMTD1	mrna	died	died	died
COMTD1_prot	COMTD1	prot	died	prot	died
COMT_prot	COMT	prot	died	died	died
COPA_mrna	COPA	mrna	died	died	died
COPA_prot	COPA	prot	died	died	died
COPB1_mrna	COPB1	mrna	died	died	died
COPB1_prot	COPB1	prot	died	died	died
COPB2_prot	COPB2	prot	died	died	died
COPE_mrna	COPE	mrna	died	died	died
COPE_prot	COPE	prot	died	died	died
COPG1_prot	COPG1	prot	died	died	died
COPG2_prot	COPG2	prot	died	died	died
COPRS_mrna	COPRS	mrna	died	died	died
COPS2_mrna	COPS2	mrna	died	died	died
COPS2_prot	COPS2	prot	prot	prot	died
COPS3_mrna	COPS3	mrna	died	mrna	died
COPS3_prot	COPS3	prot	prot	prot	died
COPS4_mrna	COPS4	mrna	died	died	died
COPS4_prot	COPS4	prot	prot	died	died
COPS5_mrna	COPS5	mrna	died	died	died
COPS5_prot	COPS5	prot	prot	died	died
COPS6_mrna	COPS6	mrna	died	died	died
COPS6_prot	COPS6	prot	died	died	died
COPS7B_mrna	COPS7B	mrna	died	died	died
COPS8_mrna	COPS8	mrna	died	died	died
COPS8_prot	COPS8	prot	died	died	died
COPZ1_prot	COPZ1	prot	died	died	died
COQ3_mrna	COQ3	mrna	died	died	died
COQ4_mrna	COQ4	mrna	died	died	died
COQ6_prot	COQ6	prot	prot	died	died
COQ7_mrna	COQ7	mrna	died	died	died
COQ9_mrna	COQ9	mrna	died	died	died
CORIN_mrna	CORIN	mrna	died	died	died
CORO1A_prot	CORO1A	prot	prot	prot	prot
CORO1B_prot	CORO1B	prot	died	died	died
CORO1C_prot	CORO1C	prot	died	died	died
CORO2A_mrna	CORO2A	mrna	died	died	died
CORO2A_prot	CORO2A	prot	died	died	died
CORO7_prot	CORO7	prot	died	died	died
COTL1_prot	COTL1	prot	died	died	died
COX11_mrna	COX11	mrna	died	died	died
COX15_prot	COX15	prot	died	died	died
COX17_mrna	COX17	mrna	died	died	died
COX19_mrna	COX19	mrna	died	died	died
COX2_prot	COX2	prot	prot	died	died
COX4I1_prot	COX4I1	prot	died	died	died
COX5A_mrna	COX5A	mrna	died	died	died
COX5A_prot	COX5A	prot	died	died	died
COX5B_mrna	COX5B	mrna	died	died	died
COX5B_prot	COX5B	prot	died	died	died
COX6A1_mrna	COX6A1	mrna	died	died	died
COX6B1_prot	COX6B1	prot	died	died	died
COX6C_prot	COX6C	prot	died	died	died
COX7A1_mrna	COX7A1	mrna	died	died	died
COX7A2_prot	COX7A2	prot	died	died	died
COX7C_mrna	COX7C	mrna	died	died	died
CPA4_mrna	CPA4	mrna	died	died	died
CPAMD8_mrna	CPAMD8	mrna	died	died	died
CPB2_prot	CPB2	prot	died	prot	died
CPD_mrna	CPD	mrna	died	died	died
CPD_prot	CPD	prot	died	died	died
CPEB3_mrna	CPEB3	mrna	died	died	died
CPEB4_mrna	CPEB4	mrna	died	died	died
CPNE1_prot	CPNE1	prot	died	died	died
CPNE2_mrna	CPNE2	mrna	died	died	died
CPNE3_prot	CPNE3	prot	died	died	died
CPOX_prot	CPOX	prot	died	died	died
CPPED1_mrna	CPPED1	mrna	died	died	died
CPS1_prot	CPS1	prot	died	died	died
CPSF1_prot	CPSF1	prot	died	died	died
CPSF2_mrna	CPSF2	mrna	died	died	died
CPSF2_prot	CPSF2	prot	died	died	died
CPSF3_mrna	CPSF3	mrna	died	died	died
CPSF4_mrna	CPSF4	mrna	died	died	died
CPSF6_mrna	CPSF6	mrna	died	died	died
CPSF6_prot	CPSF6	prot	died	died	died
CPSF7_prot	CPSF7	prot	died	died	died
CPT1A_prot	CPT1A	prot	died	died	died
CPT2_mrna	CPT2	mrna	mrna	died	died
CPT2_prot	CPT2	prot	died	died	died
CPVL_prot	CPVL	prot	died	died	died
CP_prot	CP	prot	died	died	died
CR2_mrna	CR2	mrna	died	died	died
CRABP1_prot	CRABP1	prot	died	died	died
CRABP2_prot	CRABP2	prot	died	died	died
CRAT_mrna	CRAT	mrna	died	died	died
CRB3_mrna	CRB3	mrna	died	died	died
CRBN_mrna	CRBN	mrna	died	died	died
CREB1_mrna	CREB1	mrna	died	died	died
CREB3L2_mrna	CREB3L2	mrna	died	died	died
CREB3_mrna	CREB3	mrna	died	died	died
CREBBP_mrna	CREBBP	mrna	died	died	died
CREBL2_mrna	CREBL2	mrna	died	died	died
CREBZF_mrna	CREBZF	mrna	died	died	died
CREM_mrna	CREM	mrna	died	died	died
CRIP1_prot	CRIP1	prot	died	died	died
CRIP2_mrna	CRIP2	mrna	died	died	died
CRIP2_prot	CRIP2	prot	died	prot	died
CRIPT_mrna	CRIPT	mrna	died	died	died
CRISPLD2_mrna	CRISPLD2	mrna	died	died	died
CRKL_mrna	CRKL	mrna	died	mrna	died
CRKL_prot	CRKL	prot	died	died	died
CRK_mrna	CRK	mrna	died	died	died
CRK_prot	CRK	prot	died	died	died
CRLF3_mrna	CRLF3	mrna	died	died	died
CRLS1_mrna	CRLS1	mrna	died	died	died
CRMP1_mrna	CRMP1	mrna	died	died	died
CRNKL1_mrna	CRNKL1	mrna	died	died	died
CRTAC1_mrna	CRTAC1	mrna	died	died	died
CRTAP_mrna	CRTAP	mrna	died	died	died
CRTAP_prot	CRTAP	prot	died	died	died
CRTC1_mrna	CRTC1	mrna	died	died	died
CRTC2_mrna	CRTC2	mrna	died	died	died
CRTC3_mrna	CRTC3	mrna	died	died	died
CRY2_mrna	CRY2	mrna	died	died	died
CRYAB_mrna	CRYAB	mrna	died	died	died
CRYAB_prot	CRYAB	prot	died	died	died
CRYBB1_mrna	CRYBB1	mrna	died	died	died
CRYBB2_mrna	CRYBB2	mrna	died	died	died
CRYBB3_mrna	CRYBB3	mrna	died	died	died
CRYL1_prot	CRYL1	prot	died	died	died
CRYM_mrna	CRYM	mrna	died	died	died
CRYM_prot	CRYM	prot	died	died	died
CRYZL1_mrna	CRYZL1	mrna	died	died	died
CRYZ_prot	CRYZ	prot	died	died	died
CSDE1_prot	CSDE1	prot	died	died	died
CSE1L_mrna	CSE1L	mrna	died	died	died
CSE1L_prot	CSE1L	prot	prot	died	died
CSF1_mrna	CSF1	mrna	died	mrna	died
CSF2RB_mrna	CSF2RB	mrna	died	died	died
CSF2_mrna	CSF2	mrna	died	died	died
CSF3_mrna	CSF3	mrna	died	died	died
CSK_prot	CSK	prot	died	died	died
CSMD2_mrna	CSMD2	mrna	mrna	mrna	died
CSNK1A1_mrna	CSNK1A1	mrna	died	died	died
CSNK1A1_prot	CSNK1A1	prot	died	prot	died
CSNK1D_mrna	CSNK1D	mrna	died	died	died
CSNK1G1_mrna	CSNK1G1	mrna	died	died	died
CSNK1G2_mrna	CSNK1G2	mrna	died	died	died
CSNK1G3_mrna	CSNK1G3	mrna	died	died	died
CSNK2A1_mrna	CSNK2A1	mrna	died	died	died
CSNK2A1_prot	CSNK2A1	prot	died	died	died
CSNK2A2_mrna	CSNK2A2	mrna	died	died	died
CSNK2A2_prot	CSNK2A2	prot	died	died	died
CSNK2B_prot	CSNK2B	prot	died	died	died
CSPG4_mrna	CSPG4	mrna	died	died	died
CSPG4_prot	CSPG4	prot	died	died	died
CSPP1_mrna	CSPP1	mrna	died	died	died
CSRNP1_mrna	CSRNP1	mrna	died	died	died
CSRP1_mrna	CSRP1	mrna	died	died	died
CSRP1_prot	CSRP1	prot	died	died	died
CSRP2BP_mrna	CSRP2BP	mrna	died	died	died
CSRP2_prot	CSRP2	prot	died	died	died
CST1_mrna	CST1	mrna	mrna	died	died
CST1_prot	CST1	prot	died	died	died
CSTA_mrna	CSTA	mrna	died	died	died
CSTB_prot	CSTB	prot	died	died	died
CSTF1_mrna	CSTF1	mrna	died	died	died
CSTF2_mrna	CSTF2	mrna	mrna	died	died
CSTF3_mrna	CSTF3	mrna	died	died	died
CSTF3_prot	CSTF3	prot	prot	died	died
CS_prot	CS	prot	died	died	died
CTAGE5_mrna	CTAGE5	mrna	died	died	died
CTBP1_prot	CTBP1	prot	died	died	died
CTBP2_mrna	CTBP2	mrna	died	died	died
CTBP2_prot	CTBP2	prot	prot	died	died
CTC1_mrna	CTC1	mrna	died	died	died
CTCF_mrna	CTCF	mrna	died	died	died
CTDNEP1_mrna	CTDNEP1	mrna	died	died	died
CTDSP1_mrna	CTDSP1	mrna	died	died	died
CTDSPL2_mrna	CTDSPL2	mrna	died	died	died
CTGF_mrna	CTGF	mrna	died	died	died
CTHRC1_mrna	CTHRC1	mrna	died	died	died
CTH_prot	CTH	prot	died	died	died
CTNNA1_mrna	CTNNA1	mrna	died	died	died
CTNNA1_prot	CTNNA1	prot	died	died	died
CTNNA2_prot	CTNNA2	prot	died	died	died
CTNNB1_mrna	CTNNB1	mrna	mrna	died	died
CTNNB1_prot	CTNNB1	prot	prot	prot	prot
CTNND1_mrna	CTNND1	mrna	died	died	died
CTNND1_prot	CTNND1	prot	died	prot	prot
CTPS1_mrna	CTPS1	mrna	died	died	died
CTPS1_prot	CTPS1	prot	died	prot	died
CTPS2_prot	CTPS2	prot	died	died	died
CTSA_prot	CTSA	prot	prot	prot	died
CTSB_mrna	CTSB	mrna	died	died	died
CTSB_prot	CTSB	prot	died	died	died
CTSC_mrna	CTSC	mrna	died	died	died
CTSC_prot	CTSC	prot	died	died	died
CTSD_prot	CTSD	prot	died	prot	died
CTSG_prot	CTSG	prot	died	died	prot
CTSH_prot	CTSH	prot	died	died	died
CTSL_mrna	CTSL	mrna	died	mrna	died
CTSO_mrna	CTSO	mrna	died	died	died
CTSS_mrna	CTSS	mrna	died	died	died
CTTNBP2NL_mrna	CTTNBP2NL	mrna	died	died	died
CTTN_mrna	CTTN	mrna	died	died	died
CTTN_prot	CTTN	prot	died	died	died
CTU1_mrna	CTU1	mrna	died	died	died
CUEDC1_mrna	CUEDC1	mrna	died	died	died
CUL1_mrna	CUL1	mrna	died	died	died
CUL1_prot	CUL1	prot	died	died	died
CUL3_mrna	CUL3	mrna	died	died	died
CUL3_prot	CUL3	prot	prot	prot	prot
CUL4A_mrna	CUL4A	mrna	died	died	died
CUL4A_prot	CUL4A	prot	died	prot	prot
CUL4B_mrna	CUL4B	mrna	died	died	died
CUL4B_prot	CUL4B	prot	prot	died	prot
CUL5_mrna	CUL5	mrna	died	died	died
CUTA_prot	CUTA	prot	died	died	died
CUTC_mrna	CUTC	mrna	died	died	died
CUX1_mrna	CUX1	mrna	died	died	died
CUX1_prot	CUX1	prot	died	died	died
CWC15_mrna	CWC15	mrna	died	mrna	died
CWF19L1_prot	CWF19L1	prot	died	died	died
CXADR_mrna	CXADR	mrna	mrna	died	died
CXADR_prot	CXADR	prot	died	prot	died
CXCL10_mrna	CXCL10	mrna	died	died	died
CXCL11_mrna	CXCL11	mrna	died	died	died
CXCL12_mrna	CXCL12	mrna	died	died	died
CXCL1_mrna	CXCL1	mrna	died	died	died
CXCL2_mrna	CXCL2	mrna	died	died	died
CXCL3_mrna	CXCL3	mrna	died	died	died
CXCL5_mrna	CXCL5	mrna	died	died	died
CXCL8_mrna	CXCL8	mrna	died	died	died
CXCR2_mrna	CXCR2	mrna	died	died	died
CXCR4_mrna	CXCR4	mrna	mrna	died	died
CXXC1_mrna	CXXC1	mrna	died	died	died
CXXC5_mrna	CXXC5	mrna	died	died	died
CXorf58_mrna	CXorf58	mrna	died	died	died
CYB561D1_mrna	CYB561D1	mrna	died	died	died
CYB561_mrna	CYB561	mrna	died	died	died
CYB5A_mrna	CYB5A	mrna	died	died	died
CYB5A_prot	CYB5A	prot	died	prot	died
CYB5B_prot	CYB5B	prot	died	died	died
CYB5R1_prot	CYB5R1	prot	died	died	died
CYB5R3_mrna	CYB5R3	mrna	died	died	died
CYB5R3_prot	CYB5R3	prot	died	died	died
CYB5R4_mrna	CYB5R4	mrna	died	died	died
CYBB_mrna	CYBB	mrna	mrna	died	mrna
CYBB_prot	CYBB	prot	died	died	died
CYC1_mrna	CYC1	mrna	died	died	died
CYC1_prot	CYC1	prot	died	died	died
CYCS_mrna	CYCS	mrna	mrna	died	died
CYCS_prot	CYCS	prot	died	died	died
CYFIP1_prot	CYFIP1	prot	died	died	died
CYGB_mrna	CYGB	mrna	died	died	died
CYGB_prot	CYGB	prot	died	died	died
CYLD_mrna	CYLD	mrna	died	died	died
CYP11A1_mrna	CYP11A1	mrna	died	died	died
CYP19A1_mrna	CYP19A1	mrna	died	died	died
CYP20A1_mrna	CYP20A1	mrna	died	died	died
CYP26B1_mrna	CYP26B1	mrna	died	died	died
CYP27A1_mrna	CYP27A1	mrna	died	died	died
CYP27A1_prot	CYP27A1	prot	died	died	died
CYP27B1_mrna	CYP27B1	mrna	died	mrna	died
CYP2B6_mrna	CYP2B6	mrna	died	died	died
CYP2C8_mrna	CYP2C8	mrna	died	died	died
CYP2C9_mrna	CYP2C9	mrna	died	died	died
CYP2S1_prot	CYP2S1	prot	died	prot	prot
CYP2W1_prot	CYP2W1	prot	died	died	died
CYP3A4_mrna	CYP3A4	mrna	died	died	died
CYP3A5_prot	CYP3A5	prot	died	died	died
CYP3A7_mrna	CYP3A7	mrna	died	died	died
CYP46A1_mrna	CYP46A1	mrna	died	died	died
CYP51A1_mrna	CYP51A1	mrna	mrna	died	died
CYP51A1_prot	CYP51A1	prot	died	prot	died
CYR61_mrna	CYR61	mrna	died	died	died
CYSLTR1_mrna	CYSLTR1	mrna	died	died	died
CYSRT1_mrna	CYSRT1	mrna	mrna	died	died
CYYR1_mrna	CYYR1	mrna	died	mrna	died
DAAM1_mrna	DAAM1	mrna	died	died	died
DAB1_mrna	DAB1	mrna	mrna	died	died
DAB2_prot	DAB2	prot	prot	prot	prot
DAD1_mrna	DAD1	mrna	died	died	died
DAD1_prot	DAD1	prot	died	died	died
DAK_prot	DAK	prot	died	died	died
DALRD3_mrna	DALRD3	mrna	died	died	died
DAP3_mrna	DAP3	mrna	died	died	died
DAP3_prot	DAP3	prot	died	died	died
DAPK2_mrna	DAPK2	mrna	died	mrna	mrna
DAPK3_mrna	DAPK3	mrna	died	died	died
DAPP1_mrna	DAPP1	mrna	died	died	died
DARS2_mrna	DARS2	mrna	died	died	died
DARS2_prot	DARS2	prot	prot	died	prot
DARS_mrna	DARS	mrna	died	died	died
DARS_prot	DARS	prot	died	died	died
DAZAP1_mrna	DAZAP1	mrna	died	died	died
DAZAP1_prot	DAZAP1	prot	died	died	died
DBF4_mrna	DBF4	mrna	died	died	died
DBI_prot	DBI	prot	died	died	died
DBN1_mrna	DBN1	mrna	died	died	died
DBN1_prot	DBN1	prot	died	died	died
DBNL_prot	DBNL	prot	died	died	died
DBR1_mrna	DBR1	mrna	died	died	died
DBT_mrna	DBT	mrna	died	died	died
DBT_prot	DBT	prot	prot	died	died
DCAF11_mrna	DCAF11	mrna	died	died	died
DCAF12_mrna	DCAF12	mrna	died	died	died
DCAF13_mrna	DCAF13	mrna	died	died	died
DCAF7_prot	DCAF7	prot	died	died	died
DCBLD2_mrna	DCBLD2	mrna	died	died	died
DCHS1_mrna	DCHS1	mrna	died	mrna	died
DCK_mrna	DCK	mrna	died	died	died
DCLK2_mrna	DCLK2	mrna	died	died	died
DCLRE1B_mrna	DCLRE1B	mrna	died	died	died
DCN_mrna	DCN	mrna	died	mrna	died
DCN_prot	DCN	prot	died	prot	died
DCP1B_mrna	DCP1B	mrna	died	died	died
DCPS_mrna	DCPS	mrna	died	died	died
DCPS_prot	DCPS	prot	died	died	died
DCTD_mrna	DCTD	mrna	died	died	died
DCTN1_prot	DCTN1	prot	died	died	died
DCTN2_prot	DCTN2	prot	died	died	died
DCTN3_mrna	DCTN3	mrna	died	died	died
DCTN4_mrna	DCTN4	mrna	died	died	died
DCTN4_prot	DCTN4	prot	died	died	died
DCTN5_mrna	DCTN5	mrna	died	died	died
DCTPP1_prot	DCTPP1	prot	died	died	died
DCUN1D1_mrna	DCUN1D1	mrna	died	died	died
DCUN1D4_mrna	DCUN1D4	mrna	died	died	died
DCUN1D5_mrna	DCUN1D5	mrna	died	died	died
DCXR_prot	DCXR	prot	died	died	died
DDA1_mrna	DDA1	mrna	died	died	died
DDAH1_prot	DDAH1	prot	died	died	died
DDAH2_prot	DDAH2	prot	prot	died	prot
DDB1_mrna	DDB1	mrna	died	died	died
DDB1_prot	DDB1	prot	prot	prot	prot
DDHD1_mrna	DDHD1	mrna	died	died	died
DDHD2_mrna	DDHD2	mrna	died	died	died
DDI2_prot	DDI2	prot	died	died	died
DDIT3_mrna	DDIT3	mrna	died	died	died
DDOST_mrna	DDOST	mrna	died	died	died
DDOST_prot	DDOST	prot	died	died	died
DDRGK1_prot	DDRGK1	prot	died	prot	died
DDX10_mrna	DDX10	mrna	died	died	died
DDX11_mrna	DDX11	mrna	died	died	died
DDX17_mrna	DDX17	mrna	died	died	died
DDX17_prot	DDX17	prot	prot	died	died
DDX18_mrna	DDX18	mrna	died	died	died
DDX18_prot	DDX18	prot	prot	died	prot
DDX19A_mrna	DDX19A	mrna	died	died	died
DDX19A_prot	DDX19A	prot	prot	prot	prot
DDX19B_mrna	DDX19B	mrna	died	died	died
DDX1_mrna	DDX1	mrna	died	died	died
DDX1_prot	DDX1	prot	died	died	died
DDX20_mrna	DDX20	mrna	died	died	died
DDX21_prot	DDX21	prot	prot	prot	died
DDX23_prot	DDX23	prot	died	died	died
DDX24_prot	DDX24	prot	prot	died	died
DDX27_prot	DDX27	prot	died	died	died
DDX28_prot	DDX28	prot	prot	died	prot
DDX31_mrna	DDX31	mrna	died	died	died
DDX39A_prot	DDX39A	prot	died	died	died
DDX39B_prot	DDX39B	prot	died	died	died
DDX3X_mrna	DDX3X	mrna	died	died	died
DDX3X_prot	DDX3X	prot	died	died	died
DDX41_mrna	DDX41	mrna	died	died	died
DDX42_mrna	DDX42	mrna	died	died	died
DDX42_prot	DDX42	prot	died	died	died
DDX46_mrna	DDX46	mrna	died	died	died
DDX46_prot	DDX46	prot	died	died	died
DDX47_mrna	DDX47	mrna	died	died	died
DDX47_prot	DDX47	prot	died	died	died
DDX50_mrna	DDX50	mrna	died	died	died
DDX51_mrna	DDX51	mrna	mrna	died	died
DDX52_mrna	DDX52	mrna	died	died	died
DDX54_mrna	DDX54	mrna	died	died	died
DDX54_prot	DDX54	prot	died	died	died
DDX55_mrna	DDX55	mrna	mrna	died	died
DDX56_mrna	DDX56	mrna	died	died	died
DDX58_mrna	DDX58	mrna	died	died	died
DDX58_prot	DDX58	prot	died	died	died
DDX59_mrna	DDX59	mrna	died	died	died
DDX5_mrna	DDX5	mrna	died	died	died
DDX5_prot	DDX5	prot	died	died	died
DDX60L_mrna	DDX60L	mrna	died	died	died
DDX60_mrna	DDX60	mrna	died	died	died
DDX60_prot	DDX60	prot	died	died	died
DDX6_mrna	DDX6	mrna	died	died	died
DDX6_prot	DDX6	prot	prot	died	died
DEC1_mrna	DEC1	mrna	died	died	died
DECR1_prot	DECR1	prot	died	died	died
DECR2_prot	DECR2	prot	died	died	died
DEDD_mrna	DEDD	mrna	died	died	died
DEFA1_prot	DEFA1	prot	died	prot	died
DEFA5_prot	DEFA5	prot	died	died	died
DEFA6_prot	DEFA6	prot	died	died	died
DEFB1_mrna	DEFB1	mrna	died	died	mrna
DEK_mrna	DEK	mrna	died	died	died
DEK_prot	DEK	prot	died	died	died
DENND1C_mrna	DENND1C	mrna	died	died	died
DENND2D_mrna	DENND2D	mrna	died	died	died
DENND4C_mrna	DENND4C	mrna	died	died	died
DENND5B_mrna	DENND5B	mrna	died	died	died
DENR_mrna	DENR	mrna	died	died	died
DENR_prot	DENR	prot	died	died	died
DEPDC1B_mrna	DEPDC1B	mrna	died	died	died
DEPDC1_mrna	DEPDC1	mrna	died	died	died
DEPTOR_mrna	DEPTOR	mrna	died	died	died
DERA_prot	DERA	prot	died	died	died
DERL1_prot	DERL1	prot	died	died	died
DERL3_mrna	DERL3	mrna	died	died	died
DESI2_mrna	DESI2	mrna	died	died	died
DES_mrna	DES	mrna	died	died	died
DES_prot	DES	prot	died	prot	died
DET1_mrna	DET1	mrna	died	died	died
DEXI_mrna	DEXI	mrna	died	died	died
DFFA_prot	DFFA	prot	died	died	died
DFFB_mrna	DFFB	mrna	died	died	died
DFNA5_mrna	DFNA5	mrna	died	died	died
DGAT1_prot	DGAT1	prot	died	prot	died
DGCR14_mrna	DGCR14	mrna	died	died	died
DGCR6L_mrna	DGCR6L	mrna	died	died	died
DGCR8_mrna	DGCR8	mrna	died	died	died
DGKA_prot	DGKA	prot	died	prot	died
DGUOK_mrna	DGUOK	mrna	died	died	died
DHCR24_prot	DHCR24	prot	died	died	died
DHCR7_prot	DHCR7	prot	died	died	died
DHFR_mrna	DHFR	mrna	died	died	died
DHODH_mrna	DHODH	mrna	died	died	died
