Feature	Gene	Type	Neighbor_inData	NumNeigh_inData
DIABLO_mrna	DIABLO	mrna	LIG1_prot;PDCD11_prot	2
DIABLO_prot	DIABLO	prot	ABCE1_prot;AP1B1_prot;BIRC6_prot;EEF1A1_prot;GMPPB_prot;GOLGA3_prot;HTRA2_prot;PRKCD_prot;SSRP1_prot;TRAF2_prot;UBE2K_prot;UBL4A_prot;UFM1_prot	13
DIAPH1_mrna	DIAPH1	mrna	CHERP_prot;POLR2A_prot	2
DIAPH1_prot	DIAPH1	prot	ARCN1_prot;BAIAP2_prot;CLIP1_prot;COPB1_prot;COPZ1_prot;DCAF7_prot;GRB2_prot;HSPA4L_prot;IQGAP1_prot;KIF5B_prot;KLC1_prot;KLC4_prot;MYO1E_prot;PFN2_prot;PPM1F_prot;PRPF40A_prot;PTPN23_prot;RHOA_prot;TCERG1_prot	19
DIAPH2_mrna	DIAPH2	mrna	MBNL1_prot	1
DIAPH2_prot	DIAPH2	prot	CDC42_prot;TCERG1_prot;TOM1_prot	3
DIAPH3_mrna	DIAPH3	mrna	CPSF6_prot;HMGA1_prot;NCAPD2_prot;NCAPG_prot;SMARCC1_prot;SSRP1_prot	6
DICER1_mrna	DICER1	mrna	H2AFY_prot;MBNL1_prot;ZNF207_prot;ZNF638_prot	4
DIDO1_mrna	DIDO1	mrna	H2AFY_prot;MBNL1_prot;ZNF207_prot;ZNF638_prot	4
DIDO1_prot	DIDO1	prot	APP_prot;ARAF_prot;CAMK2D_prot;GNL3_prot;H2AFY_prot;H2AFY2_prot;HNRNPK_prot;KRT7_prot;RPL18A_prot;RRS1_prot;SFPQ_prot;SON_prot;SRSF1_prot;U2AF1_prot	14
DIEXF_mrna	DIEXF	mrna	H2AFY_prot;MBNL1_prot;ZNF207_prot;ZNF638_prot	4
DIMT1_mrna	DIMT1	mrna	H2AFY_prot;MBNL1_prot;ZNF207_prot;ZNF638_prot	4
DIO1_mrna	DIO1	mrna	H2AFY_prot;MBNL1_prot;ZNF207_prot;ZNF638_prot	4
DIO2_mrna	DIO2	mrna	H2AFY_prot;MBNL1_prot;ZNF207_prot;ZNF638_prot	4
DIO3_mrna	DIO3	mrna	H2AFY_prot;MBNL1_prot;ZNF207_prot;ZNF638_prot	4
DIP2B_mrna	DIP2B	mrna	H2AFY_prot;MBNL1_prot;ZNF207_prot;ZNF638_prot	4
DIP2B_prot	DIP2B	prot	ARFGAP1_prot;RAD21_prot;SQSTM1_prot	3
DIP2C_mrna	DIP2C	mrna	POLR2A_prot	1
DIRAS1_mrna	DIRAS1	mrna	POLR2A_prot	1
DIRAS3_mrna	DIRAS3	mrna	STAT3_prot	1
DIRC2_mrna	DIRC2	mrna	STAT3_prot	1
DIS3L2_mrna	DIS3L2	mrna	CUL4B_prot;DDX18_prot;DDX19A_prot;PRPF40A_prot;PSPC1_prot;RPAP3_prot;SRP72_prot;SSB_prot;STAT1_prot;WDR36_prot;XRN2_prot;ZNF207_prot;ZNF638_prot	13
DIS3L_mrna	DIS3L	mrna	CUL4B_prot;DDX18_prot;DDX19A_prot;PRPF40A_prot;PSPC1_prot;RPAP3_prot;SRP72_prot;SSB_prot;STAT1_prot;WDR36_prot;XRN2_prot;ZNF207_prot;ZNF638_prot	13
DIS3_mrna	DIS3	mrna	CUL4B_prot;DDX18_prot;DDX19A_prot;PRPF40A_prot;PSPC1_prot;RPAP3_prot;SRP72_prot;SSB_prot;STAT1_prot;WDR36_prot;XRN2_prot;ZNF207_prot;ZNF638_prot	13
DIS3_prot	DIS3	prot	CUL3_prot;EXOSC10_prot;EXOSC2_prot;EXOSC7_prot;FGB_prot;PPP5C_prot;RAN_prot;SKIV2L2_prot;STXBP3_prot;TWF1_prot;WDR1_prot	11
DISC1_mrna	DISC1	mrna	CHERP_prot	1
DISP1_mrna	DISP1	mrna	CHERP_prot	1
DISP2_mrna	DISP2	mrna	CHERP_prot	1
DIXDC1_mrna	DIXDC1	mrna	POLR2A_prot	1
DKC1_mrna	DKC1	mrna	APEX1_prot;ATAD3A_prot;BOP1_prot;DDX23_prot;DDX46_prot;DDX47_prot;DHX9_prot;EIF2S1_prot;EIF4A3_prot;EPRS_prot;HEATR1_prot;ILF3_prot;KARS_prot;LIG1_prot;MCM2_prot;MCM3_prot;MCM4_prot;MCM7_prot;MSH2_prot;NCL_prot;NLE1_prot;NOLC1_prot;NUP37_prot;PDCD11_prot;PES1_prot;POLD1_prot;PRPF4_prot;RANBP1_prot;RBM8A_prot;RELA_prot;RFC2_prot;RPA1_prot;RUVBL2_prot;SMARCC1_prot;SNRPA_prot;SRP72_prot;SSRP1_prot;SYNCRIP_prot;TCEA1_prot;TEX10_prot;WDR5_prot;XRCC5_prot;XRCC6_prot	43
DKC1_prot	DKC1	prot	CAND1_prot;CNBP_prot;DDX24_prot;EEF1G_prot;EIF3F_prot;FBL_prot;GAR1_prot;H2AFX_prot;H2AFY2_prot;HIST1H1E_prot;KIAA0020_prot;LSM2_prot;LYAR_prot;LYPLA2_prot;NHP2_prot;NOLC1_prot;NOP10_prot;NOP58_prot;POLR1C_prot;PTGES3_prot;RBM28_prot;RPL14_prot;RPL18_prot;RPL18A_prot;RPL28_prot;RPL30_prot;RPL37A_prot;RPL7_prot;RPS8_prot;RPSA_prot;RRS1_prot;RUVBL1_prot;RUVBL2_prot;SNRNP70_prot;SRP14_prot;SSR1_prot;STAU1_prot;U2AF2_prot;XRCC5_prot;XRCC6_prot;YBX1_prot;YWHAZ_prot;ZC3HAV1_prot	43
DKK1_mrna	DKK1	mrna	APEX1_prot;ATAD3A_prot;BOP1_prot;DDX23_prot;DDX46_prot;DDX47_prot;DHX9_prot;EIF2S1_prot;EIF4A3_prot;EPRS_prot;HEATR1_prot;ILF3_prot;KARS_prot;LIG1_prot;MCM2_prot;MCM3_prot;MCM4_prot;MCM7_prot;MSH2_prot;NCL_prot;NLE1_prot;NOLC1_prot;NUP37_prot;PDCD11_prot;PES1_prot;POLD1_prot;PRPF4_prot;RANBP1_prot;RBM8A_prot;RELA_prot;RFC2_prot;RPA1_prot;RUVBL2_prot;SMARCC1_prot;SNRPA_prot;SRP72_prot;SSRP1_prot;SYNCRIP_prot;TCEA1_prot;TEX10_prot;WDR5_prot;XRCC5_prot;XRCC6_prot	43
DKK2_mrna	DKK2	mrna	APEX1_prot;ATAD3A_prot;BOP1_prot;DDX23_prot;DDX46_prot;DDX47_prot;DHX9_prot;EIF2S1_prot;EIF4A3_prot;EPRS_prot;HEATR1_prot;ILF3_prot;KARS_prot;LIG1_prot;MCM2_prot;MCM3_prot;MCM4_prot;MCM7_prot;MSH2_prot;NCL_prot;NLE1_prot;NOLC1_prot;NUP37_prot;PDCD11_prot;PES1_prot;POLD1_prot;PRPF4_prot;RANBP1_prot;RBM8A_prot;RELA_prot;RFC2_prot;RPA1_prot;RUVBL2_prot;SMARCC1_prot;SNRPA_prot;SRP72_prot;SSRP1_prot;SYNCRIP_prot;TCEA1_prot;TEX10_prot;WDR5_prot;XRCC5_prot;XRCC6_prot	43
DKK3_mrna	DKK3	mrna	LAMA4_prot	1
DKK4_mrna	DKK4	mrna	LAMA4_prot	1
DKK4_prot	DKK4	prot	CUL1_prot;IDE_prot	2
DKKL1_mrna	DKKL1	mrna	LAMA4_prot	1
DLAT_mrna	DLAT	mrna	NDUFS1_prot;YBX1_prot	2
DLAT_prot	DLAT	prot	ACAD9_prot;COPS5_prot;COX5B_prot;CUL1_prot;DLD_prot;MRPL1_prot;NDUFS4_prot;OGDH_prot;PDHA1_prot;PDHB_prot;PDHX_prot;PDK1_prot;PDK3_prot;PSMA3_prot;SYNCRIP_prot;TSG101_prot	16
DLC1_mrna	DLC1	mrna	RAD21_prot	1
DLD_mrna	DLD	mrna	GTF2F1_prot;NDUFS1_prot	2
DLD_prot	DLD	prot	AK2_prot;ASS1_prot;CKB_prot;CNDP2_prot;DBT_prot;DLAT_prot;DLST_prot;DPP3_prot;ETFB_prot;GGH_prot;LDHA_prot;MRPL11_prot;MRPL13_prot;MRPL37_prot;MRPS36_prot;NDUFA9_prot;NFS1_prot;NONO_prot;OGDH_prot;PARS2_prot;PDHA1_prot;PDHB_prot;PDHX_prot;PDK3_prot;PSMD4_prot;RPL23_prot;SORL1_prot;UBAP2_prot;UQCRC1_prot;UQCRC2_prot	30
DLEC1_mrna	DLEC1	mrna	KRT8_prot;LDB3_prot	2
DLEU7_mrna	DLEU7	mrna	KRT8_prot;LDB3_prot	2
DLG1_mrna	DLG1	mrna	EIF4A2_prot;KPNA3_prot;TBL1XR1_prot	3
DLG1_prot	DLG1	prot	ATP2B4_prot;CASK_prot;CTNNA1_prot;DLGAP4_prot;DMD_prot;EPB41_prot;EZR_prot;KIF13B_prot;LIN7C_prot;LRRC1_prot;MAP1A_prot;MAP2K2_prot;MRPS34_prot;MYO6_prot;PRKAR2A_prot;SCRIB_prot;SNX27_prot;UBE3A_prot;UTRN_prot	19
DLG2_mrna	DLG2	mrna	ELF1_prot	1
DLG3_mrna	DLG3	mrna	ELF1_prot	1
DLG4_mrna	DLG4	mrna	HNF4A_prot;POLR2A_prot	2
DLG5_mrna	DLG5	mrna	DNASE1_prot;TACSTD2_prot	2
DLGAP1_mrna	DLGAP1	mrna	DNASE1_prot;TACSTD2_prot	2
DLGAP3_mrna	DLGAP3	mrna	DNASE1_prot;TACSTD2_prot	2
DLGAP4_mrna	DLGAP4	mrna	ARHGEF1_prot;KLC1_prot;LPP_prot;PFDN6_prot;SAMHD1_prot;UACA_prot;XPNPEP1_prot	7
DLGAP4_prot	DLGAP4	prot	BIN1_prot;DLG1_prot;PLP2_prot;PPP1R1B_prot;SORBS2_prot	5
DLGAP5_mrna	DLGAP5	mrna	POLR2A_prot	1
DLK2_mrna	DLK2	mrna	POLR2A_prot	1
DLL3_mrna	DLL3	mrna	RAE1_prot	1
DLL4_mrna	DLL4	mrna	RAE1_prot	1
DLST_mrna	DLST	mrna	RAE1_prot	1
DLST_prot	DLST	prot	ATP5B_prot;DDX3X_prot;DLD_prot;FLII_prot;FOXK1_prot;HSPA5_prot;KRT10_prot;MRPL15_prot;MRPL39_prot;MRPL40_prot;MRPL49_prot;NAP1L1_prot;NDRG1_prot;OGDH_prot;PFN2_prot;SCFD1_prot;TUBB2A_prot;TUBB4B_prot;UMPS_prot	19
DLX1_mrna	DLX1	mrna	RAE1_prot	1
DLX2_mrna	DLX2	mrna	RAE1_prot	1
DLX3_mrna	DLX3	mrna	RAE1_prot	1
DLX4_mrna	DLX4	mrna	RAE1_prot	1
DLX5_mrna	DLX5	mrna	MECP2_prot	1
DLX6_mrna	DLX6	mrna	MECP2_prot	1
DMAP1_mrna	DMAP1	mrna	MECP2_prot	1
DMBT1_mrna	DMBT1	mrna	MECP2_prot	1
DMBT1_prot	DMBT1	prot	CAV1_prot;CDC42_prot;CDK5RAP3_prot;COPS6_prot;LLGL2_prot;PCK2_prot;SNX27_prot	7
DMBX1_mrna	DMBX1	mrna	MECP2_prot	1
DMC1_mrna	DMC1	mrna	MECP2_prot	1
DMD_mrna	DMD	mrna	MECP2_prot	1
DMD_prot	DMD	prot	ANK2_mrna;DST_mrna;SORBS1_mrna;AHNAK_prot;ALB_prot;APP_prot;CASK_prot;CTNNA1_prot;DLG1_prot;ITGB1_prot;KRT19_prot;KRT8_prot;MARK2_prot;PTK2_prot;PTRF_prot;SCRIB_prot;SNTB2_prot;SNX27_prot;UTRN_prot	19
DMGDH_mrna	DMGDH	mrna	MECP2_prot	1
DMKN_mrna	DMKN	mrna	MECP2_prot	1
DMPK_mrna	DMPK	mrna	LDB3_prot;POLR2A_prot;PWP2_prot	3
DMRT2_mrna	DMRT2	mrna	LDB3_prot;POLR2A_prot;PWP2_prot	3
DMRTA1_mrna	DMRTA1	mrna	LDB3_prot;POLR2A_prot;PWP2_prot	3
DMRTA2_mrna	DMRTA2	mrna	LDB3_prot;POLR2A_prot;PWP2_prot	3
DMTF1_mrna	DMTF1	mrna	LDB3_prot;POLR2A_prot;PWP2_prot	3
DMTN_mrna	DMTN	mrna	LDB3_prot;POLR2A_prot;PWP2_prot	3
DMWD_mrna	DMWD	mrna	CHERP_prot;HNF4A_prot	2
DMXL1_mrna	DMXL1	mrna	CHERP_prot;HNF4A_prot	2
DMXL2_mrna	DMXL2	mrna	CHERP_prot;HNF4A_prot	2
DNA2_mrna	DNA2	mrna	MCM6_prot;RFC4_prot;TCERG1_prot;UHRF1_prot;XPO1_prot	5
DNAAF1_mrna	DNAAF1	mrna	ELF1_prot	1
DNAAF2_mrna	DNAAF2	mrna	ELF1_prot	1
DNAAF3_mrna	DNAAF3	mrna	POLR2A_prot	1
DNAAF5_mrna	DNAAF5	mrna	HDAC2_prot;POLR2A_prot;RAD21_prot;SMC3_prot	4
DNAH11_mrna	DNAH11	mrna	HDAC2_prot;POLR2A_prot;RAD21_prot;SMC3_prot	4
DNAH12_mrna	DNAH12	mrna	HDAC2_prot;POLR2A_prot;RAD21_prot;SMC3_prot	4
DNAH14_mrna	DNAH14	mrna	HDAC2_prot;POLR2A_prot;RAD21_prot;SMC3_prot	4
DNAH17_mrna	DNAH17	mrna	RAD21_prot	1
DNAH1_mrna	DNAH1	mrna	HDAC2_prot;POLR2A_prot;RAD21_prot;SMC3_prot	4
DNAH2_mrna	DNAH2	mrna	RAD21_prot	1
DNAH3_mrna	DNAH3	mrna	CASP10_prot	1
DNAH5_mrna	DNAH5	mrna	CASP10_prot	1
DNAH6_mrna	DNAH6	mrna	CASP10_prot	1
DNAH7_mrna	DNAH7	mrna	EEA1_prot	1
DNAH8_mrna	DNAH8	mrna	EEA1_prot	1
DNAH9_mrna	DNAH9	mrna	EEA1_prot	1
DNAJA1_mrna	DNAJA1	mrna	EEA1_prot	1
DNAJA1_prot	DNAJA1	prot	AIMP1_prot;BAX_prot;BCS1L_prot;CAV2_prot;COPB1_prot;COPS5_prot;CSNK1A1_prot;CUL1_prot;CUL3_prot;CUL4B_prot;EEF1B2_prot;EEF1E1_prot;EGFR_prot;EIF2S3_prot;FDFT1_prot;GSTK1_prot;HDAC2_prot;HDGF_prot;HMGCL_prot;HSP90AA1_prot;HSPA8_prot;HSPA9_prot;ILK_prot;IQGAP1_prot;LSM2_prot;NELFCD_prot;NFKB2_prot;NOS2_prot;NPM1_prot;OSGEP_prot;OXSR1_prot;P4HA1_prot;PCK1_prot;PDIA3_prot;PRKAA1_prot;PSAP_prot;PSMA3_prot;QARS_prot;RAC2_prot;RARS_prot;RELA_prot;RIPK1_prot;RPLP0_prot;RPS6KA1_prot;SAP18_prot;SHC1_prot;SOD1_prot;SPTAN1_prot;SRRM1_prot;SRRM2_prot;SUMO4_prot;TPP1_prot;TRA2B_prot;TRAF2_prot;TUBB4B_prot;TUBG1_prot;TXN_prot;TXNDC5_prot;UQCRC1_prot;YWHAE_prot	60
DNAJA2_mrna	DNAJA2	mrna	STAT2_prot	1
DNAJA2_prot	DNAJA2	prot	COPS5_prot;CSNK1A1_prot;CUL3_prot;EGFR_prot;HSP90AA1_prot;IFIT2_prot;ILK_prot;NOS2_prot;NPM1_prot;OXSR1_prot;PRKAA1_prot;RB1_prot;RPS6KA1_prot;SHC1_prot;STK24_prot;TUBB4B_prot	16
DNAJA3_prot	DNAJA3	prot	CARM1_prot;CDC42_prot;CLTC_prot;CRK_prot;CUL3_prot;EGFR_prot;GRB2_prot;HSP90AA1_prot;HSPA1A_prot;HSPA8_prot;HSPA9_prot;ILK_prot;KDM1A_prot;KRAS_prot;MYO1C_prot;NDUFS7_prot;NFKB2_prot;NOS2_prot;RASA1_prot;RELA_prot;RPS18_prot;SCFD1_prot;STAT1_prot;STUB1_prot;UQCRQ_prot;USP7_prot	26
DNAJA4_mrna	DNAJA4	mrna	CHERP_prot;KRT7_prot;NCAPD2_prot;STRN4_prot;XDH_prot	5
DNAJB11_mrna	DNAJB11	mrna	KPNA2_prot;POLR2A_prot;PPP2R1B_prot	3
DNAJB11_prot	DNAJB11	prot	ACP2_prot;ANXA4_prot;BAG6_prot;COL6A1_prot;CORO1C_prot;CUL3_prot;DDAH2_prot;DNAJC13_prot;DNASE2_prot;ECH1_prot;EIF3D_prot;EPHX1_prot;FAF1_prot;GRB2_prot;HSPA4_prot;HSPA5_prot;IKBKAP_prot;ILK_prot;MAN2B1_prot;MMS19_prot;NADK2_prot;NDUFV1_prot;NUBPL_prot;OS9_prot;PNP_prot;ROCK2_prot;RRM1_prot;SCCPDH_prot;SDF2L1_prot;SNX5_prot;SUMO4_prot;TUBA1A_prot;TUBA4A_prot;UBXN1_prot	34
DNAJB12_mrna	DNAJB12	mrna	KPNA2_prot;POLR2A_prot;PPP2R1B_prot	3
DNAJB13_mrna	DNAJB13	mrna	PFDN6_prot;PML_prot	2
DNAJB14_mrna	DNAJB14	mrna	RANBP2_prot	1
DNAJB1_mrna	DNAJB1	mrna	UBTF_prot	1
DNAJB1_prot	DNAJB1	prot	A2M_prot;ADSL_prot;APP_prot;CDC37_prot;CUL3_prot;DNAJC3_prot;DNAJC7_prot;DPYSL2_prot;GLB1_prot;HSPA4_prot;HSPA8_prot;ISG15_prot;PDE12_prot;SEC61B_prot;SMC1A_prot;STUB1_prot;TELO2_prot;TTLL12_prot;XPO7_prot	19
DNAJB2_mrna	DNAJB2	mrna	RANBP2_prot	1
DNAJB4_mrna	DNAJB4	mrna	RANBP2_prot	1
DNAJB5_mrna	DNAJB5	mrna	RANBP2_prot	1
DNAJB6_mrna	DNAJB6	mrna	G3BP2_prot	1
DNAJB7_mrna	DNAJB7	mrna	G3BP2_prot	1
DNAJB9_mrna	DNAJB9	mrna	G3BP2_prot	1
DNAJC10_mrna	DNAJC10	mrna	ASPH_prot;CANX_prot;CUL4B_prot;MSH6_prot;NONO_prot;RBBP4_prot;XRCC5_prot;XRN2_prot	8
DNAJC10_prot	DNAJC10	prot	CAND1_prot;COPS5_prot;CUL1_prot;CUL3_prot;CUL4A_prot;CUL4B_prot;FBLN5_prot;GRN_prot;HSPA5_prot;ILK_prot;LAMB2_prot;LTBP4_prot;VCP_prot	13
DNAJC11_mrna	DNAJC11	mrna	DDX19A_prot;LANCL1_prot;PDCD11_prot	3
DNAJC11_prot	DNAJC11	prot	CHCHD3_prot;GSTK1_prot;IMMT_prot;MTX1_prot;MTX2_prot;SAMM50_prot	6
DNAJC12_mrna	DNAJC12	mrna	DDX19A_prot;LANCL1_prot;PDCD11_prot	3
DNAJC13_mrna	DNAJC13	mrna	DDX19A_prot;LANCL1_prot;PDCD11_prot	3
DNAJC13_prot	DNAJC13	prot	CUL3_prot;DNAJB11_prot;FCN1_prot;HSPA8_prot;HSPA9_prot;HSPBP1_prot;LGALS3BP_prot;NPM1_prot;SNX1_prot;STUB1_prot	10
DNAJC14_mrna	DNAJC14	mrna	ARMC10_prot;DDX19A_prot;PRPF4_prot;STIP1_prot;WDR1_prot;XRN2_prot	6
DNAJC15_mrna	DNAJC15	mrna	ARMC10_prot;DDX19A_prot;PRPF4_prot;STIP1_prot;WDR1_prot;XRN2_prot	6
DNAJC16_mrna	DNAJC16	mrna	ARMC10_prot;DDX19A_prot;PRPF4_prot;STIP1_prot;WDR1_prot;XRN2_prot	6
DNAJC17_mrna	DNAJC17	mrna	ARMC10_prot;DDX19A_prot;PRPF4_prot;STIP1_prot;WDR1_prot;XRN2_prot	6
DNAJC18_mrna	DNAJC18	mrna	ARMC10_prot;DDX19A_prot;PRPF4_prot;STIP1_prot;WDR1_prot;XRN2_prot	6
DNAJC19_mrna	DNAJC19	mrna	MTX2_prot	1
DNAJC1_mrna	DNAJC1	mrna	G3BP2_prot	1
DNAJC21_mrna	DNAJC21	mrna	MTX2_prot	1
DNAJC22_mrna	DNAJC22	mrna	MTX2_prot	1
DNAJC24_mrna	DNAJC24	mrna	MTX2_prot	1
DNAJC25_mrna	DNAJC25	mrna	MTX2_prot	1
DNAJC27_mrna	DNAJC27	mrna	MTX2_prot	1
DNAJC2_mrna	DNAJC2	mrna	MTX2_prot	1
DNAJC2_prot	DNAJC2	prot	HIST2H2AA3_prot;HSPA14_prot;USP47_prot	3
DNAJC30_mrna	DNAJC30	mrna	RAD21_prot	1
DNAJC3_mrna	DNAJC3	mrna	MTX2_prot	1
DNAJC3_prot	DNAJC3	prot	DNAJB1_prot;EIF2AK2_prot;HSPA1A_prot;HSPA4_prot;HSPA5_prot;HSPA8_prot	6
DNAJC4_mrna	DNAJC4	mrna	UBTF_prot	1
DNAJC5B_mrna	DNAJC5B	mrna	UBTF_prot	1
DNAJC6_mrna	DNAJC6	mrna	UBTF_prot	1
DNAJC7_mrna	DNAJC7	mrna	UBTF_prot	1
DNAJC7_prot	DNAJC7	prot	MGEA5_mrna;CUL3_prot;DNAJB1_prot;HSP90AA1_prot;HSPA1A_prot;HSPA4_prot;HSPA8_prot;ILK_prot;LMAN1_prot;NOS2_prot;NRD1_prot;PTGES3_prot;PWP2_prot;SMC1A_prot;TP53BP1_prot;TPM1_prot;VPS13C_prot	17
DNAJC8_mrna	DNAJC8	mrna	UBTF_prot	1
DNAJC8_prot	DNAJC8	prot	ANXA2_prot;APP_prot;HMGA1_prot;RAP1A_prot;SF3A1_prot;SF3A2_prot;SRRM1_prot;SRRM2_prot	8
DNAJC9_mrna	DNAJC9	mrna	UBTF_prot	1
DNAJC9_prot	DNAJC9	prot	CAND1_prot;COPS5_prot;CUL1_prot;CUL3_prot;HIST1H3A_prot;RRP1B_prot;TSTA3_prot	7
DNAL1_mrna	DNAL1	mrna	UBTF_prot	1
DNAL4_mrna	DNAL4	mrna	UBTF_prot	1
DNALI1_mrna	DNALI1	mrna	UBTF_prot	1
DNASE1L1_mrna	DNASE1L1	mrna	POLR2A_prot;RAD21_prot	2
DNASE1L2_mrna	DNASE1L2	mrna	NFKB1_prot	1
DNASE1L3_mrna	DNASE1L3	mrna	NFKB1_prot	1
DNASE1_mrna	DNASE1	mrna	UBTF_prot	1
DNASE1_prot	DNASE1	prot	ABTB2_mrna;AHDC1_mrna;ALDOB_mrna;C21orf2_mrna;CACNA1G_mrna;CALML4_mrna;CCDC74A_mrna;CLEC7A_mrna;COL24A1_mrna;CREBL2_mrna;CRYBB1_mrna;CRYBB3_mrna;DLG5_mrna;DOCK6_mrna;DOT1L_mrna;DRD4_mrna;ENTPD2_mrna;FLCN_mrna;GJC2_mrna;GLI4_mrna;LCAT_mrna;LDLR_mrna;MKX_mrna;MMP11_mrna;MRPL12_mrna;MYCN_mrna;NBPF15_mrna;NCKIPSD_mrna;NTNG2_mrna;PCDHGC5_mrna;QRICH1_mrna;RASAL1_mrna;RDH14_mrna;RFX1_mrna;RIMBP2_mrna;SAMD4B_mrna;SHBG_mrna;ST3GAL3_mrna;STK24_mrna;TMCC1_mrna;TMEM43_mrna;TPSAB1_mrna;TREML2_mrna;TREX2_mrna;TRIM65_mrna;UBE2B_mrna;YPEL2_mrna;ZNF143_mrna;ZNF497_mrna;ZNF548_mrna;ZNF613_mrna;ZNF653_mrna;ACTB_prot	53
DNASE2B_mrna	DNASE2B	mrna	NFKB1_prot	1
DNASE2_mrna	DNASE2	mrna	NFKB1_prot	1
DNASE2_prot	DNASE2	prot	CANX_prot;DNAJB11_prot;OPA1_prot;RRM1_prot;RUVBL1_prot;RUVBL2_prot	6
DNER_mrna	DNER	mrna	NFKB1_prot	1
DNHD1_mrna	DNHD1	mrna	NFKB1_prot	1
DNLZ_mrna	DNLZ	mrna	RAD21_prot	1
DNM1L_mrna	DNM1L	mrna	RPAP3_prot	1
DNM1L_prot	DNM1L	prot	APEH_prot;ARFIP1_prot;ATP6V1C1_prot;CARS_prot;COPS5_prot;CSNK2A1_prot;DUSP23_prot;FAM129B_prot;FIS1_prot;HAX1_prot;MARCH5_prot;PGAM5_prot;RRM2_prot;SEC24A_prot;SH3GL1_prot;SSB_prot;TBC1D15_prot;VIM_prot;VPS26A_prot	19
DNM1_mrna	DNM1	mrna	RAD21_prot	1
DNM1_prot	DNM1	prot	ACTB_prot;AP2A1_prot;CLIC4_prot;CLINT1_prot;CTTN_prot;CYFIP1_prot;DNM2_prot;EPS15_prot;GRB2_prot;HAX1_prot;HSPA8_prot;LASP1_prot;MYO1E_prot;NCKAP1_prot;NCL_prot;NME2_prot;PACSIN2_prot;PACSIN3_prot;PFN2_prot;ROCK2_prot;SH3GL1_prot;SH3GLB1_prot;SH3KBP1_prot;SNRPA1_prot;SNX9_prot;SRC_prot;TBC1D15_prot;TIMM50_prot;TJP2_prot;UBE2I_prot;ZYX_prot	31
DNM2_mrna	DNM2	mrna	STRN4_prot	1
DNM2_prot	DNM2	prot	ADRBK1_mrna;AP1M1_mrna;STRN4_mrna;ABI1_prot;APP_prot;APPL1_prot;CCT7_prot;CD2AP_prot;COL18A1_prot;CRKL_prot;CTTN_prot;DDX39B_prot;DNM1_prot;DYNLL1_prot;EIF3L_prot;EPS15_prot;ERBB2_prot;GRB2_prot;HMGB1_prot;KPNB1_prot;LASP1_prot;MYO1E_prot;MYOF_prot;PACSIN2_prot;PACSIN3_prot;PICALM_prot;PLCG1_prot;PPIB_prot;PTK2_prot;PTPN23_prot;PYGM_prot;RAB7A_prot;RPS2_prot;RUVBL2_prot;SH3KBP1_prot;SHC1_prot;SNX9_prot;SORBS1_prot;SRC_prot;TBC1D15_prot;TJP2_prot;ZYX_prot	42
DNM3_mrna	DNM3	mrna	VWF_prot	1
DNMBP_mrna	DNMBP	mrna	POLR2A_prot	1
DNMT1_mrna	DNMT1	mrna	BUB3_prot;HDAC1_prot;HDAC2_prot;KPNA2_prot;MCM5_prot;MCM6_prot;MSH2_prot;NCAPG_prot;NPM1_prot;POLD1_prot;RFC2_prot;RFC4_prot;RFC5_prot;SFPQ_prot;STAT3_prot;YARS_prot	16
DNMT1_prot	DNMT1	prot	BAG1_mrna;BIRC5_mrna;BMP2_mrna;CASP8_mrna;CDH1_mrna;CDKN2A_mrna;CDKN2B_mrna;CXCR4_mrna;EPCAM_mrna;ESR1_mrna;GAD1_mrna;HDAC1_mrna;IL32_mrna;MBD2_mrna;MGMT_mrna;MSH2_mrna;PROM1_mrna;RASSF1_mrna;RB1_mrna;RELN_mrna;RGS10_mrna;RUNX3_mrna;SFRP1_mrna;SFRP5_mrna;TERT_mrna;TIMP3_mrna;TNFRSF10B_mrna;TP53_mrna;VEGFA_mrna;CBX5_prot;CHD4_prot;CSNK2B_prot;HDAC1_prot;HDAC2_prot;HSPA4_prot;HSPA5_prot;KDM1A_prot;MECP2_prot;MTA2_prot;PCNA_prot;PSMD4_prot;RAD23B_prot;RB1_prot;RBBP4_prot;SH3KBP1_prot;SMARCA5_prot;SNRPG_prot;SQSTM1_prot;STAT3_prot;TRIM28_prot;TSG101_prot;UHRF1_prot;USP7_prot;YWHAQ_prot;YWHAZ_prot	55
DNMT3A_mrna	DNMT3A	mrna	POLR2A_prot;RB1_prot;SMC3_prot	3
DNMT3B_mrna	DNMT3B	mrna	MCM6_prot;RFC4_prot	2
DNPEP_mrna	DNPEP	mrna	MCM6_prot;RFC4_prot	2
DNPEP_prot	DNPEP	prot	DBNL_prot;KCTD12_prot;NELFCD_prot;PADI4_prot;PLOD2_prot;RAB11B_prot;TBC1D4_prot;TNS3_prot;UGP2_prot	9
DNPH1_mrna	DNPH1	mrna	MCM6_prot;RFC4_prot	2
DNPH1_prot	DNPH1	prot	DSTN_prot;PRDX1_prot;UBA1_prot	3
DNTTIP1_mrna	DNTTIP1	mrna	MCM6_prot;RFC4_prot	2
DNTTIP2_mrna	DNTTIP2	mrna	SUGT1_prot	1
DOC2A_mrna	DOC2A	mrna	SUGT1_prot	1
DOCK10_mrna	DOCK10	mrna	CTNND1_prot	1
DOCK11_mrna	DOCK11	mrna	CTNND1_prot	1
