Edge	NodeA	NodeB	InteractionType	Basal-like_dikNew	Basal-like_sigEdge	Basal-like_dir	Basal-like_absdiknew	HER2-enriched_dikNew	HER2-enriched_sigEdge	HER2-enriched_dir	HER2-enriched_absdiknew	Luminal A_dikNew	Luminal A_sigEdge	Luminal A_dir	Luminal A_absdiknew	Luminal B_dikNew	Luminal B_sigEdge	Luminal B_dir	Luminal B_absdiknew
ANLN_prot_CENPA_mrna	ANLN_prot	CENPA_mrna	tf	0	died	died	0	-0	died	died	0	-0.412643	tf	down	0.412643	-0	died	died	0
ANLN_prot_CENPE_mrna	ANLN_prot	CENPE_mrna	tf	0	died	died	0	-0	died	died	0	-0.17343	tf	down	0.17343	0	died	died	0
ANLN_prot_CENPN_mrna	ANLN_prot	CENPN_mrna	tf	0	died	died	0	-0	died	died	0	-0.331279	tf	down	0.331279	0	died	died	0
ANLN_prot_CEP55_mrna	ANLN_prot	CEP55_mrna	tf	0	died	died	0	0	died	died	0	-0.499935	tf	down	0.499935	-0	died	died	0
ANLN_prot_CHEK1_mrna	ANLN_prot	CHEK1_mrna	tf	0	died	died	0	-0	died	died	0	-0.139953	tf	down	0.139953	-0	died	died	0
ANLN_prot_DEPDC1B_mrna	ANLN_prot	DEPDC1B_mrna	tf	0	died	died	0	-0	died	died	0	-0.0941373	tf	down	0.0941373	0	died	died	0
ANLN_prot_DEPDC1_mrna	ANLN_prot	DEPDC1_mrna	tf	0	died	died	0	0	died	died	0	-0.286755	tf	down	0.286755	0	died	died	0
ANLN_prot_DONSON_mrna	ANLN_prot	DONSON_mrna	tf	0	died	died	0	0	died	died	0	-0.252053	tf	down	0.252053	0	died	died	0
ANLN_prot_FAM83D_mrna	ANLN_prot	FAM83D_mrna	tf	0	died	died	0	-0	died	died	0	-0.277239	tf	down	0.277239	0	died	died	0
ANLN_prot_FBXO5_mrna	ANLN_prot	FBXO5_mrna	tf	0	died	died	0	-0	died	died	0	-0.0751124	tf	down	0.0751124	0	died	died	0
ANLN_prot_GGH_mrna	ANLN_prot	GGH_mrna	tf	0	died	died	0	-0	died	died	0	-0.00993912	tf	down	0.00993912	0	died	died	0
ANLN_prot_GINS1_mrna	ANLN_prot	GINS1_mrna	tf	0	died	died	0	-0	died	died	0	-0.377163	tf	down	0.377163	0	died	died	0
ANLN_prot_KIF18A_mrna	ANLN_prot	KIF18A_mrna	tf	0	died	died	0	-0	died	died	0	-0.192537	tf	down	0.192537	0	died	died	0
